y,YYYYMM,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12
8.9,200701,1.5,6.8,0.8,-14,0,2.2,-3.03030303,0.1,-6.8,-4.7,,
3.3,200702,1.7,3.9,4.8,-107,1,1.5,8.333333333,0,-4.9,-5.5,,
7.4,200703,-0.3,1.7,5.5,-17,1,0.7,36,0,-4.3,-4.5,2.1,-0.1
6.9,200704,0.7,3.8,5.5,-14,0,0.2,15.15151515,0.2,-6.5,-4.9,2.5,-0.3
-2.1,200705,1.8,2,2.4,13,-1,0.3,8.333333333,0,-4.9,-3.1,1.5,0.9
-1.3,200706,-0.6,0.6,3.3,-11,1,0.3,0,-0.2,-4.7,-3.8,1.3,-1.1
-11.7,200707,-8.8,2.2,3.3,7,-1,-0.9,-8.333333333,-0.1,-3.1,-3.4,1.9,-1.1
-1.4,200708,5.6,-0.3,0.5,-41,0,0.8,-3.571428571,-0.2,-3.7,-3.1,1.1,0
-12.9,200709,-7.1,-6.9,-1.2,44,2,1.7,-13.51351351,-0.2,-6.1,-5,-0.2,1
4.2,200710,3,1.5,-1.2,-55,-1,-0.8,-6.976744186,0.1,-8.1,-6.8,0.3,-3
3.2,200711,-4,-0.7,2.6,-103,-1,-1,-3.703703704,0.3,-9.4,-9.4,-0.6,-2.9
6.4,200712,-3.5,6.3,1.5,-190,2,-0.3,-2.040816327,0.4,-10.1,-10.9,-0.3,-1.3
-0.9,200801,2.5,5.8,1.5,-36,0,-1.4,9.375,0.4,-17.1,-11.9,-1.8,-4.2
1.4,200802,-5.3,-2.6,3.7,10,0,-3.6,7.692307692,0.4,-13.6,-15.1,-1.6,-4.6
8.1,200803,0.8,-2.3,1.5,27,1,0.4,-5.882352941,0.6,-12.3,-12.6,-1.8,-4.5
-2.8,200804,-3.2,-0.4,1.5,100,-1,1,-10.52631579,0.7,-15.3,-13.1,-1.9,-5.1
7.9,200805,-9,-3.8,3.3,55,1,-0.7,2.564102564,0.9,-17.6,-15.8,-2.3,-6.6
0.7,200806,-9.4,1.4,3.5,72,0,-1.4,-5.263157895,1.3,-17.3,-14.9,-5.05,-6.85
11.9,200807,1.9,3.4,3.5,-125,-1,2.3,0,1.6,-16.7,-16.3,-3.75,-6.45
4.2,200808,-7.8,1.8,-2.4,103,2,-1.5,3.703703704,1.5,-16.4,-15.9,-5.15,-7.25
20.8,200809,-1.3,4.2,4,-47,-2,-1.3,9.375,1.7,-16.1,-14.5,-2.25,-7.05
-2.5,200810,-0.9,0,4,-29,0,0.3,0,1.5,-20.3,-13.9,-5.95,-7.25
32.2,200811,-1.8,13.4,-0.4,40,3,-0.1,15.38461538,1.1,-20.5,-17.9,-4.25,-5.95
10.3,200812,-7.7,0.7,-3,-4,-2,0.7,20.83333333,0.8,-22.9,-14.1,-8.05,-11.95
5.7,200901,-8,1.7,-3,147,0,0.9,22.85714286,0.5,-14.7,-19.4,-9.65,-13.85
4.2,200902,-9.2,-0.3,-12.7,6,0,3.2,14.28571429,0.6,-14.2,-13.7,-12.15,-14.25
7.9,200903,-5,5.9,-1.8,6,-1,-0.8,28.125,0.4,-8.5,-13,-14.65,-17.45
19.2,200904,3.3,10.2,-1.8,-73,0,0.6,32.35294118,0,-1.3,-2.4,-18.65,-19.75
18.3,200905,6.9,10.4,-15.2,-38,2,1.3,12.5,-0.7,4.6,3.6,-18.45,-16.45
6.4,200906,3.2,15.4,-12.1,-42,-1,1,16.66666667,-1.3,12.7,8.2,-15.7,-16.6
-4.2,200907,3,11.9,-12.1,48,0,-0.9,9.090909091,-1.7,13.1,13.5,-16.2,-16
5.6,200908,-4.5,13.2,3.7,-21,0,-0.5,7.142857143,-1.9,13.4,14.1,-13.6,-11.4
31.6,200909,9.3,6.4,-14.2,-56,1,-1.1,28.57142857,-2.1,15.1,12,-13.7,-8.9
35.7,200910,-0.9,14.5,-14.2,60,1,-0.6,45,-2.2,18.3,12.4,-9.4,-5.8
7.9,200911,-5.5,-1,4.8,100,-1,0.5,20,-1.9,12.9,17.6,-8.2,-3
11.5,200912,2.6,3.9,2.3,20,0,-0.7,-3.448275862,-1.9,19.5,9.8,-3.4,4.2
-7.2,201001,-0.6,3.6,2.3,-170,0,-0.1,-9.302325581,-2,21.7,18.7,1.1,9.4
1.8,201002,-1.7,-0.5,4.6,86,0,-1.1,-6.25,-1.8,22.7,19.8,5,14.3
-16.4,201003,1.9,-6.4,1.3,55,-1,-0.4,-21.95121951,-1.8,19,18.3,10.5,19.5
-13.4,201004,-9.3,6.7,1.3,58,0,-2.6,-8.888888889,-1.9,15.6,11.2,14.5,23.5
3.1,201005,-4.4,0.5,4.9,-26,0,-1.2,6.666666667,-1.5,11,10.2,16.4,26.4
-5.8,201006,3.5,-5.7,3.8,1,0,0.9,-11.9047619,-1.3,5.3,5.4,15.3,25.5
0.4,201007,-3.4,0.3,3.8,15,1,1.5,2.777777778,-1.3,7.4,2.7,14.1,21.7
-9.3,201008,0.2,-2.6,0.4,-73,-1,2.7,-6.666666667,-1.1,3.4,1.7,13.3,19.1
-24.7,201009,-9.9,-6.9,5,99,-1,2.3,-24.44444444,-1,-1.9,-4,13.2,17.5
-1.1,201010,-6,-6.7,5,-8,1,0.8,-10.34482759,-0.5,-0.7,-3.1,12.1,16.3
-14.5,201011,3.2,2.4,3.9,-72,-1,-0.4,-16.66666667,-0.5,9.7,-1.7,9.4,12.2
-15.5,201012,-6.3,0.6,1.5,89,0,0.9,-14.28571429,-0.4,9.7,6.9,6.5,8.3
10.7,201101,2.5,-1.2,1.5,-19,0,-1.9,0,-0.8,5.5,7.6,6.1,9.9
-5,201102,3.1,-3,-1.1,-14,0,0.2,0,-0.8,6.3,5.3,6.1,7.1
-10.5,201103,-15,-17.2,4.5,-89,0,-1.5,0,-0.8,-19.7,2.4,6.2,4.8
4.6,201104,0.3,-7.1,4.5,-86,1,1.4,2.43902439,-0.5,-21.5,-20.4,6.3,5.7
-1.6,201105,-2.2,0,-3.7,91,-1,0,-12.5,-0.4,-11.7,-11.5,2,-2.6
3.9,201106,-1.7,-0.9,-3.5,-30,0,-0.2,8.108108108,-0.4,2.1,-3.8,2.3,-5.5
11.2,201107,8.1,0.1,-3.5,-9,1,-0.2,5.405405405,-0.1,2.8,0.7,5.1,1
-9.4,201108,-3.7,-4.6,-1.3,62,-1,-1.8,0,-0.2,2.2,1.9,7.5,4.2
-10.7,201109,-1.8,-6.3,-2.1,14,0,-0.3,5.882352941,-0.1,4.1,7.1,4.1,4.6
-4,201110,9.8,2.6,-2.1,-42,0,-0.3,-7.692307692,-0.4,5.7,5,4.1,4.8
-1,201111,-6.4,-8.9,6,0,0,1.6,0,-0.5,1.4,4.8,-13.1,-7.1
14.2,201112,10.7,0.2,5.6,-149,0,-2.3,8.333333333,-0.3,1.9,3.3,-9.4,-5.7
7.9,201201,4.2,1.2,5.6,60,0,0.1,0,-0.4,-0.2,0.5,-11.8,-7.4
1.2,201202,3.6,-5.1,-2.3,-5,-1,-1.8,6.666666667,-0.3,-2.5,-0.1,-10.3,-7.4
5.1,201203,13.6,10.3,-0.7,80,1,1.2,28.125,-0.3,24.1,2.9,-13.6,-7.1
-6.8,201204,0.7,3.8,-0.7,22,0,0.2,4.761904762,-0.5,22.6,23.1,-11.8,-7.9
-10.3,201205,7.4,-2,4.1,-49,-2,0.4,9.523809524,-0.8,11.2,12.5,-6.8,-3.7
-7,201206,-1.2,-2.8,4.7,47,1,-1.5,17.5,-0.6,-5.8,3.2,-6.7,-0.6
-2,201207,-6.4,-2.2,4.7,-10,-1,-0.8,12.82051282,-0.6,-8.4,-3.3,-10.5,-4.4
2,201208,9.9,1.9,1.4,-54,0,1.2,25,-0.5,-3.7,-3.6,-14.7,-10
-2.4,201209,-3.6,-7,0.7,-48,1,0.8,27.77777778,-0.4,-4.1,-3.5,-13.3,-11.6
-2.2,201210,-2.5,-8.5,0.7,3,-2,0.1,22.91666667,-0.4,-6.9,-2.9,-13.9,-11.1
13.7,201211,11.7,5.2,-3.5,12,-1,-2.1,30,-0.5,-5,-4.2,2.5,0.1
4.5,201212,-0.5,0.9,-3.5,46,2,-0.2,25,-0.6,-1.2,-2.8,-0.7,0.8
-5.5,201301,-3.4,-2.6,-3.5,26,0,0.5,7.692307692,-0.6,5.4,6.6,-0.1,-1.1
9.6,201302,-8.9,1.3,-0.4,-69,1,0.4,12.5,-0.9,7.3,9.4,-0.6,-0.6
23.1,201303,6.8,-4,0.2,-99,1,2.8,4.87804878,-1,5.5,7.6,-1.1,0.6
-3,201304,1.8,2.1,0.2,50,-1,0.2,6.818181818,-0.7,5.6,7.8,-2.6,1.3
10.9,201305,-5.1,2.1,3.5,-90,0,0.2,15.2173913,-0.2,8.5,6.9,-2.9,1.5
20.5,201306,9.3,9.7,4.1,-18,1,1.1,8.510638298,0,9.2,8.1,-1.6,3.4
5.5,201307,-1.2,2.7,4.1,-29,-1,0.4,9.090909091,0.4,8.1,7.9,10.2,15.5
28.9,201308,-3.8,6,2.6,21,1,0,14.28571429,0.5,7.6,8.7,11.1,14
4.4,201309,2.2,8.3,3.8,19,0,-1.2,-13.04347826,0.5,11.6,7.6,13.9,14.9
-13.8,201310,-4.4,3,3.8,126,0,1,-8.474576271,0.6,12.8,10.7,14.1,13.6
7.7,201311,-1.8,8.4,1.9,-69,1,0.3,2.564102564,0.9,13.5,12.8,16.9,17.6
1.1,201312,-4,-1.9,1.1,-38,-1,0.7,-6.153846154,0.9,9.9,12.9,19.7,17
15,201401,1.3,12.7,1.1,-40,0,0.8,4.761904762,0.7,5.2,3.7,20.5,19
0.8,201402,-3.1,6.5,1,176,0,-0.2,-8.333333333,1.1,-0.2,-7.5,19.1,18.3
0.6,201403,-6.4,27,0.7,63,0,-2,-6.976744186,1.3,0.6,-17.7,23.6,18.1
3.3,201404,11.7,15.1,0.7,-72,0,0,0,2.9,-14.9,-22.8,20.6,11.3
4.1,201405,1.7,-7.5,5.9,34,1,0.5,7.547169811,3.1,-10.6,-7.5,20.7,9.2
2.6,201406,-3.1,-3.4,6.7,63,-1,0.3,-7.843137255,3,-5.3,-2.4,15.8,7.5
-4.8,201407,-5.5,-5.4,6.7,17,0,-0.3,-16.66666667,2.8,-1,-0.3,5.3,-5.9
3.8,201408,-4.7,5.5,-6.8,27,1,-1.5,-12.5,2.8,-3.8,-2.1,4.5,-1.3
19.7,201409,10.4,5.3,-7.1,-63,-1,-1.8,17.5,2.9,-5.4,-0.8,2.2,-2.5
10.5,201410,1.5,-3.5,-7.1,-33,0,-1.3,12.96296296,2.5,-7.8,-5.5,0.7,-2.4
1.9,201411,-2.2,-6,-1.6,51,2,1.3,2.5,2.1,-12,-7.9,1.4,-3.6
10.2,201412,5.4,-2.4,-1.9,53,-1,-0.5,18.03278689,2.1,-10.5,-10.8,-0.5,-5.3
